timestamp,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH),newtimestamp
11:23.2,41,40,137,12,05/07/19 19:10
16:24.1,41,40,110,15,05/07/19 19:15
21:25.0,42,39,118,14,05/07/19 19:20
26:26.0,41,40,82,20,05/07/19 19:25
31:26.7,40,41,110,15,05/07/19 19:30
36:27.9,42,39,103,16,05/07/19 19:35
41:28.7,41,40,97,17,05/07/19 19:40
46:29.6,42,39,75,22,05/07/19 19:45
51:30.6,42,39,97,17,05/07/19 19:50
56:31.5,42,39,71,23,05/07/19 19:55
01:32.3,41,40,68,24,05/07/19 20:00
06:33.4,42,39,75,22,05/07/19 20:05
11:34.3,41,40,56,29,05/07/19 20:10
16:35.2,41,40,59,28,05/07/19 20:15
21:36.5,41,40,68,24,05/07/19 20:20
26:37.5,41,40,68,24,05/07/19 20:25
31:38.5,41,40,41,40,05/07/19 20:30
36:39.6,41,40,41,40,05/07/19 20:35
41:40.5,41,40,68,24,05/07/19 20:40
46:41.6,42,39,63,26,05/07/19 20:45
51:42.6,42,39,55,30,05/07/19 20:50
56:43.6,42,39,71,23,05/07/19 20:55
01:44.4,42,39,78,21,05/07/19 21:00
06:45.3,42,39,55,30,05/07/19 21:05
11:46.1,42,39,42,39,05/07/19 21:10
16:47.0,42,39,61,27,05/07/19 21:15
21:47.9,42,39,68,24,05/07/19 21:20
26:49.0,41,40,78,21,05/07/19 21:25
31:50.1,41,40,66,25,05/07/19 21:30
36:51.3,42,39,56,29,05/07/19 21:35
41:52.4,42,39,55,30,05/07/19 21:40
46:53.5,41,40,68,24,05/07/19 21:45
51:54.6,41,40,55,30,05/07/19 21:50
56:55.5,41,40,41,40,05/07/19 21:55
01:56.5,42,39,59,28,05/07/19 22:00
06:57.8,41,40,55,30,05/07/19 22:05
11:58.5,41,40,41,40,05/07/19 22:10
16:59.4,41,40,41,40,05/07/19 22:15
22:00.5,42,39,42,39,05/07/19 22:20
27:01.4,42,39,42,39,05/07/19 22:25
32:02.3,42,39,42,39,05/07/19 22:30
37:03.3,42,39,42,39,05/07/19 22:35
42:04.0,42,39,42,39,05/07/19 22:40
47:04.7,42,39,42,39,05/07/19 22:45
52:05.7,42,39,42,39,05/07/19 22:50
57:06.5,42,39,42,39,05/07/19 22:55
02:07.6,42,39,42,39,05/07/19 23:00
07:08.5,42,39,42,39,05/07/19 23:05
12:09.3,41,40,53,31,05/07/19 23:10
17:10.2,42,39,61,27,05/07/19 23:15
22:11.2,42,39,42,39,05/07/19 23:20
27:12.0,42,39,42,39,05/07/19 23:25
32:13.0,42,39,42,39,05/07/19 23:30
37:14.0,41,40,91,18,05/07/19 23:35
42:14.8,41,40,127,13,05/07/19 23:40
47:16.0,41,40,110,15,05/07/19 23:45
52:17.2,42,39,103,16,05/07/19 23:50
57:17.9,43,38,127,13,05/07/19 23:55
02:18.8,41,40,110,15,06/07/19 0:00
07:19.8,41,40,82,20,06/07/19 0:05
12:21.3,41,40,55,30,06/07/19 0:10
17:22.2,41,40,41,40,06/07/19 0:15
22:23.4,41,40,41,40,06/07/19 0:20
27:24.1,41,40,41,40,06/07/19 0:25
32:25.2,41,40,41,40,06/07/19 0:30
37:26.1,41,40,41,40,06/07/19 0:35
42:26.9,41,40,41,40,06/07/19 0:40
47:27.9,41,40,41,40,06/07/19 0:45
52:28.9,41,40,41,40,06/07/19 0:50
57:29.7,41,40,41,40,06/07/19 0:55
02:30.6,41,40,41,40,06/07/19 1:00
07:31.5,41,40,41,40,06/07/19 1:05
12:32.2,41,40,41,40,06/07/19 1:10
17:33.3,41,40,41,40,06/07/19 1:15
22:34.4,41,40,41,40,06/07/19 1:20
27:35.2,41,40,41,40,06/07/19 1:25
32:36.2,41,40,41,40,06/07/19 1:30
37:37.2,41,40,41,40,06/07/19 1:35
42:37.9,41,40,41,40,06/07/19 1:40
47:38.8,41,40,41,40,06/07/19 1:45
52:39.8,41,40,41,40,06/07/19 1:50
57:40.5,41,40,41,40,06/07/19 1:55
02:41.3,41,40,41,40,06/07/19 2:00
07:42.4,41,40,41,40,06/07/19 2:05
12:43.2,41,40,41,40,06/07/19 2:10
17:44.0,41,40,41,40,06/07/19 2:15
22:45.2,41,40,41,40,06/07/19 2:20
27:46.0,41,40,41,40,06/07/19 2:25
32:46.9,41,40,41,40,06/07/19 2:30
37:47.8,41,40,41,40,06/07/19 2:35
42:48.6,41,40,41,40,06/07/19 2:40
47:49.7,41,40,41,40,06/07/19 2:45
52:50.5,41,40,41,40,06/07/19 2:50
57:51.2,41,40,41,40,06/07/19 2:55
02:52.1,41,40,41,40,06/07/19 3:00
07:53.1,41,40,41,40,06/07/19 3:05
12:53.9,41,40,41,40,06/07/19 3:10
17:54.9,41,40,41,40,06/07/19 3:15
22:56.1,41,40,41,40,06/07/19 3:20
27:56.9,41,40,41,40,06/07/19 3:25
32:57.8,41,40,41,40,06/07/19 3:30
37:58.7,41,40,41,40,06/07/19 3:35
42:59.5,41,40,41,40,06/07/19 3:40
48:00.3,41,40,41,40,06/07/19 3:45
53:01.2,41,40,41,40,06/07/19 3:50
58:02.0,41,40,41,40,06/07/19 3:55
03:03.0,41,40,41,40,06/07/19 4:00
08:04.1,41,40,41,40,06/07/19 4:05
13:04.8,41,40,41,40,06/07/19 4:10
18:05.7,41,40,41,40,06/07/19 4:15
23:06.6,41,40,41,40,06/07/19 4:20
28:07.3,41,40,41,40,06/07/19 4:25
33:08.2,41,40,41,40,06/07/19 4:30
38:09.0,41,40,41,40,06/07/19 4:35
43:09.8,41,40,41,40,06/07/19 4:40
48:10.5,41,40,41,40,06/07/19 4:45
53:11.4,41,40,41,40,06/07/19 4:50
58:12.1,41,40,41,40,06/07/19 4:55
03:13.3,41,40,41,40,06/07/19 5:00
08:14.3,41,40,41,40,06/07/19 5:05
13:15.1,41,40,41,40,06/07/19 5:10
18:15.9,41,40,41,40,06/07/19 5:15
23:17.0,41,40,41,40,06/07/19 5:20
28:17.7,41,40,41,40,06/07/19 5:25
33:18.5,41,40,41,40,06/07/19 5:30
38:19.3,41,40,41,40,06/07/19 5:35
43:20.1,41,40,41,40,06/07/19 5:40
48:21.1,41,40,41,40,06/07/19 5:45
53:22.1,41,40,41,40,06/07/19 5:50
58:22.9,41,40,41,40,06/07/19 5:55
03:23.7,41,40,41,40,06/07/19 6:00
08:24.7,41,40,41,40,06/07/19 6:05
13:25.5,41,40,41,40,06/07/19 6:10
18:26.3,41,40,41,40,06/07/19 6:15
23:27.3,41,40,41,40,06/07/19 6:20
28:28.1,41,40,41,40,06/07/19 6:25
33:29.0,41,40,41,40,06/07/19 6:30
38:30.0,41,40,41,40,06/07/19 6:35
43:30.9,41,40,41,40,06/07/19 6:40
48:31.8,41,40,41,40,06/07/19 6:45
53:32.9,41,40,41,40,06/07/19 6:50
58:34.0,41,40,41,40,06/07/19 6:55
03:35.0,41,40,41,40,06/07/19 7:00
08:36.0,41,40,41,40,06/07/19 7:05
13:36.9,41,40,41,40,06/07/19 7:10
18:37.7,41,40,41,40,06/07/19 7:15
23:38.7,41,40,41,40,06/07/19 7:20
28:39.5,41,40,41,40,06/07/19 7:25
33:40.4,41,40,41,40,06/07/19 7:30
38:41.4,41,40,41,40,06/07/19 7:35
43:42.6,41,40,41,40,06/07/19 7:40
48:43.5,41,40,41,40,06/07/19 7:45
53:44.6,41,40,41,40,06/07/19 7:50
58:45.5,41,40,41,40,06/07/19 7:55
03:46.4,41,40,41,40,06/07/19 8:00
08:47.2,41,40,41,40,06/07/19 8:05
13:48.1,41,40,41,40,06/07/19 8:10
18:49.1,41,40,41,40,06/07/19 8:15
23:49.9,41,40,41,40,06/07/19 8:20
28:50.8,41,40,41,40,06/07/19 8:25
33:51.6,41,40,41,40,06/07/19 8:30
38:52.6,41,40,41,40,06/07/19 8:35
43:53.5,41,40,56,29,06/07/19 8:40
48:54.4,41,40,55,30,06/07/19 8:45
53:55.2,41,40,53,31,06/07/19 8:50
58:56.1,41,40,41,40,06/07/19 8:55
03:57.1,42,39,56,29,06/07/19 9:00
08:58.0,41,40,41,40,06/07/19 9:05
13:59.0,42,39,42,39,06/07/19 9:10
19:00.0,41,40,41,40,06/07/19 9:15
24:00.9,42,39,71,23,06/07/19 9:20
29:02.1,41,40,68,24,06/07/19 9:25
34:03.0,42,39,55,30,06/07/19 9:30
39:03.9,41,40,41,40,06/07/19 9:35
44:04.7,41,40,41,40,06/07/19 9:40
49:05.7,41,40,41,40,06/07/19 9:45
54:06.7,41,40,51,32,06/07/19 9:50
59:07.4,41,40,59,28,06/07/19 9:55
04:08.5,41,40,56,29,06/07/19 10:00
09:09.3,42,39,42,39,06/07/19 10:05
14:10.3,41,40,56,29,06/07/19 10:10
19:11.4,41,40,41,40,06/07/19 10:15
24:12.4,41,40,41,40,06/07/19 10:20
29:13.2,42,39,63,26,06/07/19 10:25
34:14.2,41,40,55,30,06/07/19 10:30
39:15.3,41,40,41,40,06/07/19 10:35
44:16.2,42,39,56,29,06/07/19 10:40
49:17.0,41,40,56,29,06/07/19 10:45
54:18.0,42,39,56,29,06/07/19 10:50
59:18.9,42,39,61,27,06/07/19 10:55
04:19.9,42,39,56,29,06/07/19 11:00
09:20.9,41,40,55,30,06/07/19 11:05
14:21.7,41,40,66,25,06/07/19 11:10
19:22.8,42,39,55,30,06/07/19 11:15
24:23.8,41,40,56,29,06/07/19 11:20
29:24.7,42,39,59,28,06/07/19 11:25
34:25.8,41,40,82,20,06/07/19 11:30
39:26.8,42,39,68,24,06/07/19 11:35
44:27.8,41,40,56,29,06/07/19 11:40
49:28.8,42,39,75,22,06/07/19 11:45
54:30.1,42,39,71,23,06/07/19 11:50
59:31.1,42,39,71,23,06/07/19 11:55
04:31.9,41,40,56,29,06/07/19 12:00
09:33.0,41,40,82,20,06/07/19 12:05
20:56.9,41,40,71,23,06/07/19 12:10
25:57.9,40,41,118,14,06/07/19 12:15
30:58.8,40,41,97,17,06/07/19 12:20
35:59.6,41,40,75,22,06/07/19 12:25
41:00.5,41,40,78,21,06/07/19 12:30
,,,,,06/07/19 12:35
,,,,,06/07/19 12:40
,,,,,06/07/19 12:45
2019-07-06 12-50-02,41,40,75,22,06/07/19 12:50
2019-07-06 12-55-03,41,40,82,20,06/07/19 12:55
2019-07-06 13-00-04,41,40,103,16,06/07/19 13:00
2019-07-06 13-05-05,41,40,91,18,06/07/19 13:05
2019-07-06 13-10-06,40,41,91,18,06/07/19 13:10
2019-07-06 13-15-06,41,40,68,24,06/07/19 13:15
2019-07-06 13-20-08,41,40,59,28,06/07/19 13:20
2019-07-06 13-25-08,41,40,82,20,06/07/19 13:25
2019-07-06 13-30-09,40,41,137,12,06/07/19 13:30
2019-07-06 13-35-10,41,40,110,15,06/07/19 13:35
2019-07-06 13-40-11,42,39,61,27,06/07/19 13:40
2019-07-06 13-45-12,41,40,66,25,06/07/19 13:45
2019-07-06 13-50-13,41,40,55,30,06/07/19 13:50
2019-07-06 13-55-14,41,40,63,26,06/07/19 13:55
2019-07-06 14-00-15,41,40,78,21,06/07/19 14:00
2019-07-06 14-05-16,42,39,61,27,06/07/19 14:05
2019-07-06 14-10-17,42,39,71,23,06/07/19 14:10
2019-07-06 14-15-18,41,40,63,26,06/07/19 14:15
2019-07-06 14-20-19,42,39,59,28,06/07/19 14:20
2019-07-06 14-25-20,41,40,97,17,06/07/19 14:25
2019-07-06 14-30-21,41,40,110,15,06/07/19 14:30
2019-07-06 14-35-22,41,40,91,18,06/07/19 14:35
2019-07-06 14-40-23,41,40,86,19,06/07/19 14:40
2019-07-06 14-45-23,42,39,71,23,06/07/19 14:45
2019-07-06 14-50-24,41,40,97,17,06/07/19 14:50
2019-07-06 14-55-25,42,39,91,18,06/07/19 14:55
2019-07-06 15-00-26,41,40,97,17,06/07/19 15:00
2019-07-06 15-05-27,41,40,91,18,06/07/19 15:05
2019-07-06 15-10-28,41,40,103,16,06/07/19 15:10
2019-07-06 15-15-29,42,39,82,20,06/07/19 15:15
2019-07-06 15-20-30,41,40,78,21,06/07/19 15:20
2019-07-06 15-25-31,41,40,75,22,06/07/19 15:25
2019-07-06 15-30-32,42,39,75,22,06/07/19 15:30
2019-07-06 15-35-33,41,40,68,24,06/07/19 15:35
2019-07-06 15-40-34,42,39,66,25,06/07/19 15:40
2019-07-06 15-45-34,41,40,51,32,06/07/19 15:45
2019-07-06 15-50-35,42,39,78,21,06/07/19 15:50
2019-07-06 15-55-36,42,39,75,22,06/07/19 15:55
2019-07-06 16-00-37,41,40,97,17,06/07/19 16:00
2019-07-06 16-05-38,41,40,71,23,06/07/19 16:05
2019-07-06 16-10-39,41,40,110,15,06/07/19 16:10
2019-07-06 16-15-40,42,39,75,22,06/07/19 16:15
2019-07-06 16-20-41,41,40,61,27,06/07/19 16:20
2019-07-06 16-25-41,42,39,75,22,06/07/19 16:25
2019-07-06 16-30-42,42,39,66,25,06/07/19 16:30
2019-07-06 16-35-44,41,40,59,28,06/07/19 16:35
2019-07-06 16-40-45,41,40,61,27,06/07/19 16:40
2019-07-06 16-45-45,41,40,56,29,06/07/19 16:45
2019-07-06 16-50-46,42,39,42,39,06/07/19 16:50
2019-07-06 16-55-47,41,40,56,29,06/07/19 16:55
2019-07-06 17-00-48,41,40,59,28,06/07/19 17:00
2019-07-06 17-05-49,42,39,42,39,06/07/19 17:05
2019-07-06 17-10-50,41,40,53,31,06/07/19 17:10
2019-07-06 17-15-51,42,39,71,23,06/07/19 17:15
2019-07-06 17-20-52,41,40,75,22,06/07/19 17:20
2019-07-06 17-25-52,41,40,63,26,06/07/19 17:25
2019-07-06 17-30-53,41,40,55,30,06/07/19 17:30
2019-07-06 17-35-54,41,40,56,29,06/07/19 17:35
2019-07-06 17-40-55,42,39,75,22,06/07/19 17:40
2019-07-06 17-45-56,42,39,75,22,06/07/19 17:45
2019-07-06 17-50-57,42,39,68,24,06/07/19 17:50
2019-07-06 17-55-58,42,39,56,29,06/07/19 17:55
2019-07-06 18-00-59,41,40,63,26,06/07/19 18:00
2019-07-06 18-06-00,42,39,71,23,06/07/19 18:05
2019-07-06 18-11-01,41,40,63,26,06/07/19 18:10
2019-07-06 18-16-02,42,39,59,28,06/07/19 18:15
2019-07-06 18-21-02,41,40,66,25,06/07/19 18:20
2019-07-06 18-26-03,41,40,55,30,06/07/19 18:25
2019-07-06 18-31-04,42,39,59,28,06/07/19 18:30
2019-07-06 18-36-05,41,40,56,29,06/07/19 18:35
2019-07-06 18-41-06,41,40,55,30,06/07/19 18:40
2019-07-06 18-46-07,42,39,68,24,06/07/19 18:45
2019-07-06 18-51-08,42,39,61,27,06/07/19 18:50
2019-07-06 18-56-09,42,39,61,27,06/07/19 18:55
2019-07-06 19-01-09,41,40,56,29,06/07/19 19:00
2019-07-06 19-06-10,42,39,55,30,06/07/19 19:05
2019-07-06 19-11-11,42,39,78,21,06/07/19 19:10
2019-07-06 19-16-12,41,40,66,25,06/07/19 19:15
2019-07-06 19-21-13,42,39,75,22,06/07/19 19:20
2019-07-06 19-26-14,41,40,61,27,06/07/19 19:25
2019-07-06 19-31-15,41,40,59,28,06/07/19 19:30
2019-07-06 19-36-16,41,40,71,23,06/07/19 19:35
2019-07-06 19-41-17,41,40,71,23,06/07/19 19:40
2019-07-06 19-46-18,42,39,68,24,06/07/19 19:45
2019-07-06 19-51-18,41,40,82,20,06/07/19 19:50
2019-07-06 19-56-20,40,41,118,14,06/07/19 19:55
2019-07-06 20-01-20,42,39,183,9,06/07/19 20:00
2019-07-06 20-06-21,40,41,165,10,06/07/19 20:05
2019-07-06 20-11-22,41,40,236,7,06/07/19 20:10
2019-07-06 20-16-23,41,40,236,7,06/07/19 20:15
2019-07-06 20-21-24,43,38,236,7,06/07/19 20:20
2019-07-06 20-26-25,39,42,165,10,06/07/19 20:25
2019-07-06 20-31-26,41,40,183,9,06/07/19 20:30
2019-07-06 20-36-27,42,39,118,14,06/07/19 20:35
2019-07-06 20-41-28,42,39,86,19,06/07/19 20:40
2019-07-06 20-46-29,42,39,61,27,06/07/19 20:45
2019-07-06 20-51-30,42,39,42,39,06/07/19 20:50
2019-07-06 20-56-31,42,39,59,28,06/07/19 20:55
2019-07-06 21-01-31,41,40,53,31,06/07/19 21:00
2019-07-06 21-06-32,41,40,61,27,06/07/19 21:05
2019-07-06 21-11-33,41,40,78,21,06/07/19 21:10
2019-07-06 21-16-34,42,39,97,17,06/07/19 21:15
2019-07-06 21-21-35,41,40,68,24,06/07/19 21:20
2019-07-06 21-26-36,42,39,71,23,06/07/19 21:25
2019-07-06 21-31-38,41,40,59,28,06/07/19 21:30
2019-07-06 21-36-38,41,40,61,27,06/07/19 21:35
2019-07-06 21-41-39,42,39,55,30,06/07/19 21:40
2019-07-06 21-46-40,41,40,71,23,06/07/19 21:45
2019-07-06 21-51-41,41,40,82,20,06/07/19 21:50
2019-07-06 21-56-42,42,39,68,24,06/07/19 21:55
2019-07-06 22-01-43,41,40,41,40,06/07/19 22:00
2019-07-06 22-06-44,41,40,41,40,06/07/19 22:05
2019-07-06 22-11-45,41,40,41,40,06/07/19 22:10
2019-07-06 22-16-46,41,40,41,40,06/07/19 22:15
2019-07-06 22-21-47,41,40,41,40,06/07/19 22:20
2019-07-06 22-26-48,41,40,41,40,06/07/19 22:25
2019-07-06 22-31-49,41,40,41,40,06/07/19 22:30
2019-07-06 22-36-50,41,40,41,40,06/07/19 22:35
2019-07-06 22-41-51,41,40,41,40,06/07/19 22:40
2019-07-06 22-46-52,41,40,41,40,06/07/19 22:45
2019-07-06 22-51-53,41,40,41,40,06/07/19 22:50
2019-07-06 22-56-54,42,39,42,39,06/07/19 22:55
2019-07-06 23-01-55,42,39,42,39,06/07/19 23:00
2019-07-06 23-06-56,42,39,42,39,06/07/19 23:05
2019-07-06 23-11-57,42,39,42,39,06/07/19 23:10
2019-07-06 23-16-58,42,39,42,39,06/07/19 23:15
2019-07-06 23-21-59,41,40,51,32,06/07/19 23:20
2019-07-06 23-27-00,41,40,41,40,06/07/19 23:25
2019-07-06 23-32-00,41,40,41,40,06/07/19 23:30
2019-07-06 23-37-01,41,40,41,40,06/07/19 23:35
2019-07-06 23-42-02,42,39,82,20,06/07/19 23:40
2019-07-06 23-47-03,41,40,110,15,06/07/19 23:45
2019-07-06 23-52-04,42,39,63,26,06/07/19 23:50
2019-07-06 23-57-05,42,39,42,39,06/07/19 23:55
2019-07-07 00-02-06,42,39,42,39,07/07/19 0:00
2019-07-07 00-07-07,42,39,42,39,07/07/19 0:05
2019-07-07 00-12-08,42,39,42,39,07/07/19 0:10
2019-07-07 00-17-09,42,39,42,39,07/07/19 0:15
2019-07-07 00-22-10,42,39,42,39,07/07/19 0:20
2019-07-07 00-27-11,42,39,42,39,07/07/19 0:25
2019-07-07 00-32-12,42,39,42,39,07/07/19 0:30
2019-07-07 00-37-12,42,39,42,39,07/07/19 0:35
2019-07-07 00-42-13,42,39,42,39,07/07/19 0:40
2019-07-07 00-47-14,42,39,42,39,07/07/19 0:45
2019-07-07 00-52-15,42,39,42,39,07/07/19 0:50
2019-07-07 00-57-16,42,39,42,39,07/07/19 0:55
2019-07-07 01-02-17,42,39,42,39,07/07/19 1:00
2019-07-07 01-07-18,42,39,42,39,07/07/19 1:05
2019-07-07 01-12-19,42,39,42,39,07/07/19 1:10
2019-07-07 01-17-20,42,39,42,39,07/07/19 1:15
2019-07-07 01-22-21,42,39,42,39,07/07/19 1:20
2019-07-07 01-27-22,42,39,42,39,07/07/19 1:25
2019-07-07 01-32-23,42,39,42,39,07/07/19 1:30
2019-07-07 01-37-24,42,39,42,39,07/07/19 1:35
2019-07-07 01-42-25,42,39,42,39,07/07/19 1:40
2019-07-07 01-47-25,42,39,42,39,07/07/19 1:45
2019-07-07 01-52-26,42,39,42,39,07/07/19 1:50
2019-07-07 01-57-27,42,39,42,39,07/07/19 1:55
2019-07-07 02-02-28,42,39,42,39,07/07/19 2:00
2019-07-07 02-07-29,42,39,42,39,07/07/19 2:05
2019-07-07 02-12-30,42,39,42,39,07/07/19 2:10
2019-07-07 02-17-31,42,39,42,39,07/07/19 2:15
2019-07-07 02-22-32,42,39,42,39,07/07/19 2:20
2019-07-07 02-27-33,42,39,42,39,07/07/19 2:25
2019-07-07 02-32-34,42,39,42,39,07/07/19 2:30
